"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,-19.013,0,0,-15.567,0,0,-1.9013e-05,0,0,-1.5567e-05,-4.6469,-0.00044819,9.9383e-05,0,-0.011751,1.1482e-06,0,-4.0203,1160.3,0,5.0277,985.71,0,-5.0521e-06,0.0014581,0,6.318e-06,0.0012387,0,-4.9551e-09,6.0519e-09,7,1,0,0,0,0
0,0,-115.23,0,0,99.828,0,0,-0.00011523,0,0,9.9828e-05,-4.0817,-0.14419,0.0001495,0,-0.012283,-0.0017978,0,-4.1779,1160.6,0,5.2282,985.43,0,-5.2501e-06,0.0014584,0,6.5699e-06,0.0012383,0,3.1776e-08,3.668e-08,7,1,5e-05,5e-05,0,0
0,0,-211.46,0,0,215.22,0,0,-0.00021146,0,0,0.00021522,-3.5164,-0.28793,0.00019963,0,-0.012815,-0.0035968,0,-4.3355,1160.8,0,5.4286,985.16,0,-5.4481e-06,0.0014587,0,6.8218e-06,0.001238,0,6.8507e-08,6.7309e-08,7,1,0.0001,0.0001,0,0
0,0,-307.68,0,0,330.62,0,0,-0.00030768,0,0,0.00033062,-2.9512,-0.43167,0.00024975,0,-0.013347,-0.0053957,0,-4.4931,1161,0,5.6291,984.88,0,-5.6461e-06,0.001459,0,7.0737e-06,0.0012376,0,1.0524e-07,9.7937e-08,7,1,0.00015,0.00015,0,0
0,0,-403.9,0,0,446.01,0,0,-0.0004039,0,0,0.00044601,-2.386,-0.57541,0.00029987,0,-0.01388,-0.0071947,0,-4.6506,1161.2,0,5.8296,984.61,0,-5.8442e-06,0.0014593,0,7.3257e-06,0.0012373,0,1.4197e-07,1.2857e-07,7,1,0.0002,0.0002,0,0
0,0,-500.12,0,0,561.41,0,0,-0.00050012,0,0,0.00056141,-1.8207,-0.71915,0.00034999,0,-0.014412,-0.0089937,0,-4.8082,1161.5,0,6.0301,984.33,0,-6.0422e-06,0.0014596,0,7.5776e-06,0.001237,0,1.787e-07,1.5919e-07,7,1,0.00025,0.00025,0,0
0,0,-596.34,0,0,676.8,0,0,-0.00059634,0,0,0.0006768,-1.2555,-0.86289,0.00040011,0,-0.014944,-0.010793,0,-4.9658,1161.7,0,6.2305,984.06,0,-6.2402e-06,0.0014598,0,7.8295e-06,0.0012366,0,2.1543e-07,1.8982e-07,7,1,0.0003,0.0003,0,0
0,0,-692.57,0,0,792.19,0,0,-0.00069257,0,0,0.00079219,-0.69024,-1.0066,0.00045023,0,-0.015476,-0.012592,0,-5.1234,1161.9,0,6.431,983.78,0,-6.4382e-06,0.0014601,0,8.0814e-06,0.0012363,0,2.5216e-07,2.2045e-07,7,1,0.00035,0.00035,0,0
0,0,-788.79,0,0,907.59,0,0,-0.00078879,0,0,0.00090759,-0.125,-1.1504,0.00050035,0,-0.016008,-0.014391,0,-5.2809,1162.2,0,6.6315,983.51,0,-6.6362e-06,0.0014604,0,8.3334e-06,0.0012359,0,2.8889e-07,2.5108e-07,7,1,0.0004,0.0004,0,0
0,0,-885.01,0,0,1023,0,0,-0.00088501,0,0,0.001023,0.44023,-1.2941,0.00055048,0,-0.01654,-0.016189,0,-5.4385,1162.4,0,6.832,983.24,0,-6.8342e-06,0.0014607,0,8.5853e-06,0.0012356,0,3.2563e-07,2.8171e-07,7,1,0.00045,0.00045,0,0
