"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,-0.054604,0,0,0.26081,0,0,0,0,0,0,0,563.07,3281.3,0,-334.35,-611.15,0,0.00070757,0.0041234,0,-0.00042015,-0.00076799,0,8.3017e-05,1.7381e-05,8,1,0,0.05,-0.1,0
0,0,0,0,0,0,0,0,-0.054861,0,0,0.26036,0,0,0,0,0,0,0,560.9,3285.9,0,-324.21,-632.07,0,0.00070485,0.0041292,0,-0.00040741,-0.00079429,0,8.2874e-05,1.7463e-05,8,1,0.0002,0.05,-0.0998,0
0,0,0,0,0,0,0,0,-0.055119,0,0,0.25991,0,0,0,0,0,0,0,558.73,3290.5,0,-314.07,-653,0,0.00070212,0.004135,0,-0.00039467,-0.00082058,0,8.2731e-05,1.7545e-05,8,1,0.0004,0.05,-0.0996,0
0,0,0,0,0,0,0,0,-0.055376,0,0,0.25946,0,0,0,0,0,0,0,556.56,3295.1,0,-303.93,-673.92,0,0.00069939,0.0041407,0,-0.00038194,-0.00084688,0,8.2589e-05,1.7627e-05,8,1,0.0006,0.05,-0.0994,0
0,0,0,0,0,0,0,0,-0.055633,0,0,0.25901,0,0,0,0,0,0,0,554.39,3299.7,0,-293.8,-694.85,0,0.00069666,0.0041465,0,-0.0003692,-0.00087317,0,8.2446e-05,1.7709e-05,8,1,0.0008,0.05,-0.0992,0
0,0,0,0,0,0,0,0,-0.05589,0,0,0.25856,0,0,0,0,0,0,0,552.22,3304.3,0,-283.66,-715.77,0,0.00069394,0.0041523,0,-0.00035646,-0.00089947,0,8.2303e-05,1.779e-05,8,1,0.001,0.05,-0.099,0
0,0,0,0,0,0,0,0,-0.056147,0,0,0.25811,0,0,0,0,0,0,0,550.05,3308.9,0,-273.52,-736.7,0,0.00069121,0.004158,0,-0.00034372,-0.00092576,0,8.216e-05,1.7872e-05,8,1,0.0012,0.05,-0.0988,0
0,0,0,0,0,0,0,0,-0.056404,0,0,0.25766,0,0,0,0,0,0,0,547.88,3313.5,0,-263.38,-757.62,0,0.00068848,0.0041638,0,-0.00033098,-0.00095206,0,8.2017e-05,1.7954e-05,8,1,0.0014,0.05,-0.0986,0
0,0,0,0,0,0,0,0,-0.056661,0,0,0.25722,0,0,0,0,0,0,0,545.71,3318,0,-253.25,-778.55,0,0.00068575,0.0041696,0,-0.00031824,-0.00097835,0,8.1874e-05,1.8036e-05,8,1,0.0016,0.05,-0.0984,0
0,0,0,0,0,0,0,0,-0.056919,0,0,0.25677,0,0,0,0,0,0,0,543.54,3322.6,0,-243.11,-799.47,0,0.00068303,0.0041754,0,-0.0003055,-0.0010046,0,8.1731e-05,1.8118e-05,8,1,0.0018,0.05,-0.0982,0
0,0,0,0,0,0,0,0,-0.057176,0,0,0.25632,0,0,0,0,0,0,0,541.36,3327.2,0,-232.97,-820.4,0,0.0006803,0.0041811,0,-0.00029276,-0.0010309,0,8.1589e-05,1.82e-05,8,1,0.002,0.05,-0.098,0
