"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","surface current im:0","surface current im:1","surface current im:2","surface current re:0","surface current re:1","surface current re:2","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.023996,0.019403,-9.2408e-10,-7.3906e-09,4.731,2.5935e-08,-1.262e-08,-5.2749,-9.3176e-10,-7.3965e-09,4.731,2.6071e-08,-1.2685e-08,-5.275,201.47,2.4706e-08,1.3974e-08,-1.1971e-06,5.3226e-09,1.4868e-08,-3.4026e-06,3.1046e-14,1.756e-14,-1.5043e-12,6.6885e-15,1.8683e-14,-4.2758e-12,0,0,0,0,0,0,0.015033,-0.015032,4.752,0.010043,-0.010043,-5.0823,0.015033,-0.015032,4.752,0.010043,-0.010043,-5.0823,24.206,9.5955e-05,9.5968e-05,0.0021699,0.0015731,0.0015732,-0.094633,1.2058e-10,1.206e-10,2.7268e-09,1.9768e-09,1.9769e-09,-1.1892e-07,1,0,0,0,0.005
-0.023994,0.019399,-8.4629e-10,-0.00087051,4.7303,2.3993e-08,-0.00055991,-5.276,-8.5326e-10,-0.00086945,4.7303,2.4117e-08,-0.00056376,-5.2761,201.39,0.00029404,2.4272e-08,-4.1199e-06,-0.00020081,2.1419e-08,-5.1365e-06,3.695e-10,3.0501e-14,-5.1772e-12,-2.5234e-10,2.6916e-14,-6.4548e-12,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,5e-06,0,5e-06,0.005
-0.023992,0.019396,-7.6849e-10,-0.001741,4.7295,2.2051e-08,-0.0011198,-5.2771,-7.7476e-10,-0.0017389,4.7295,2.2163e-08,-0.0011275,-5.2772,201.31,0.00058806,3.4571e-08,-7.0427e-06,-0.00040162,2.7971e-08,-6.8705e-06,7.3898e-10,4.3443e-14,-8.8501e-12,-5.0469e-10,3.5149e-14,-8.6337e-12,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,1e-05,0,1e-05,0.005
-0.02399,0.019392,-6.907e-10,-0.0026115,4.7288,2.0109e-08,-0.0016797,-5.2782,-6.9626e-10,-0.0026083,4.7288,2.0209e-08,-0.0016912,-5.2783,201.24,0.00088207,4.4869e-08,-9.9655e-06,-0.00060243,3.4522e-08,-8.6044e-06,1.1084e-09,5.6385e-14,-1.2523e-11,-7.5704e-10,4.3382e-14,-1.0813e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,1.5e-05,0,1.5e-05,0.005
-0.023988,0.019389,-6.129e-10,-0.003482,4.7281,1.8167e-08,-0.0022396,-5.2793,-6.1776e-10,-0.0034778,4.7281,1.8254e-08,-0.002255,-5.2794,201.16,0.0011761,5.5168e-08,-1.2888e-05,-0.00080324,4.1074e-08,-1.0338e-05,1.4779e-09,6.9326e-14,-1.6196e-11,-1.0094e-09,5.1614e-14,-1.2991e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,2e-05,0,2e-05,0.005
-0.023986,0.019385,-5.351e-10,-0.0043525,4.7274,1.6225e-08,-0.0027995,-5.2804,-5.3926e-10,-0.0043472,4.7274,1.63e-08,-0.0028187,-5.2805,201.08,0.0014701,6.5467e-08,-1.5811e-05,-0.0010041,4.7625e-08,-1.2072e-05,1.8474e-09,8.2268e-14,-1.9869e-11,-1.2617e-09,5.9847e-14,-1.517e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,2.5e-05,0,2.5e-05,0.005
-0.023984,0.019382,-4.5731e-10,-0.005223,4.7266,1.4284e-08,-0.0033594,-5.2816,-4.6076e-10,-0.0052167,4.7266,1.4346e-08,-0.0033825,-5.2816,201.01,0.0017641,7.5765e-08,-1.8734e-05,-0.0012049,5.4176e-08,-1.3806e-05,2.2169e-09,9.521e-14,-2.3542e-11,-1.5141e-09,6.808e-14,-1.7349e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,3e-05,0,3e-05,0.005
-0.023983,0.019378,-3.7951e-10,-0.0060935,4.7259,1.2342e-08,-0.0039193,-5.2827,-3.8226e-10,-0.0060861,4.7259,1.2392e-08,-0.0039462,-5.2827,200.93,0.0020581,8.6064e-08,-2.1657e-05,-0.0014057,6.0728e-08,-1.554e-05,2.5863e-09,1.0815e-13,-2.7215e-11,-1.7664e-09,7.6313e-14,-1.9528e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,3.5e-05,0,3.5e-05,0.005
-0.023981,0.019374,-3.0172e-10,-0.006964,4.7252,1.04e-08,-0.0044792,-5.2838,-3.0376e-10,-0.0069556,4.7252,1.0438e-08,-0.00451,-5.2838,200.85,0.0023522,9.6363e-08,-2.458e-05,-0.0016065,6.7279e-08,-1.7274e-05,2.9558e-09,1.2109e-13,-3.0888e-11,-2.0188e-09,8.4546e-14,-2.1707e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,4e-05,0,4e-05,0.005
-0.023979,0.019371,-2.2392e-10,-0.0078345,4.7244,8.4579e-09,-0.0050391,-5.2849,-2.2526e-10,-0.007825,4.7244,8.4836e-09,-0.0050737,-5.2849,200.78,0.0026462,1.0666e-07,-2.7502e-05,-0.0018073,7.3831e-08,-1.9008e-05,3.3253e-09,1.3403e-13,-3.4561e-11,-2.2711e-09,9.2778e-14,-2.3886e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,4.5e-05,0,4.5e-05,0.005
-0.023977,0.019367,-1.4613e-10,-0.008705,4.7237,6.5159e-09,-0.005599,-5.286,-1.4676e-10,-0.0086945,4.7237,6.5295e-09,-0.0056375,-5.286,200.7,0.0029402,1.1696e-07,-3.0425e-05,-0.0020081,8.0382e-08,-2.0742e-05,3.6948e-09,1.4698e-13,-3.8233e-11,-2.5235e-09,1.0101e-13,-2.6065e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,5e-05,0,5e-05,0.005
-0.023975,0.019364,-6.833e-11,-0.0095755,4.723,4.574e-09,-0.0061589,-5.2871,-6.8256e-11,-0.0095639,4.723,4.5754e-09,-0.0062012,-5.2871,200.62,0.0032342,1.2726e-07,-3.3348e-05,-0.0022089,8.6934e-08,-2.2476e-05,4.0642e-09,1.5992e-13,-4.1906e-11,-2.7758e-09,1.0924e-13,-2.8244e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,5.5e-05,0,5.5e-05,0.005
-0.023973,0.01936,9.4818e-12,-0.010446,4.7223,2.6321e-09,-0.0067188,-5.2882,1.0261e-11,-0.010433,4.7223,2.6212e-09,-0.006765,-5.2882,200.55,0.0035282,1.3756e-07,-3.6271e-05,-0.0024097,9.3485e-08,-2.421e-05,4.4337e-09,1.7286e-13,-4.5579e-11,-3.0282e-09,1.1748e-13,-3.0423e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,6e-05,0,6e-05,0.005
-0.023971,0.019357,8.7278e-11,-0.011317,4.7215,6.9023e-10,-0.0072787,-5.2893,8.8762e-11,-0.011303,4.7215,6.6708e-10,-0.0073287,-5.2893,200.47,0.0038222,1.4786e-07,-3.9194e-05,-0.0026106,1.0004e-07,-2.5944e-05,4.8032e-09,1.858e-13,-4.9252e-11,-3.2805e-09,1.2571e-13,-3.2602e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,6.5e-05,0,6.5e-05,0.005
-0.023969,0.019353,1.6506e-10,-0.012187,4.7208,-1.2517e-09,-0.0078386,-5.2904,1.6725e-10,-0.012172,4.7208,-1.2871e-09,-0.0078924,-5.2904,200.39,0.0041163,1.5815e-07,-4.2116e-05,-0.0028114,1.0659e-07,-2.7678e-05,5.1726e-09,1.9874e-13,-5.2925e-11,-3.5329e-09,1.3394e-13,-3.4781e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,7e-05,0,7e-05,0.005
-0.023967,0.01935,2.4285e-10,-0.013058,4.7201,-3.1936e-09,-0.0083985,-5.2915,2.4575e-10,-0.013042,4.7201,-3.2412e-09,-0.0084562,-5.2915,200.32,0.0044103,1.6845e-07,-4.5039e-05,-0.0030122,1.1314e-07,-2.9411e-05,5.5421e-09,2.1168e-13,-5.6598e-11,-3.7852e-09,1.4217e-13,-3.696e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,7.5e-05,0,7.5e-05,0.005
-0.023965,0.019346,3.2065e-10,-0.013928,4.7194,-5.1355e-09,-0.0089584,-5.2926,3.2425e-10,-0.013911,4.7194,-5.1954e-09,-0.0090199,-5.2926,200.24,0.0047043,1.7875e-07,-4.7962e-05,-0.003213,1.1969e-07,-3.1145e-05,5.9116e-09,2.2463e-13,-6.0271e-11,-4.0376e-09,1.5041e-13,-3.9138e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,8e-05,0,8e-05,0.005
-0.023963,0.019342,3.9844e-10,-0.014799,4.7186,-7.0774e-09,-0.0095183,-5.2937,4.0275e-10,-0.014781,4.7186,-7.1495e-09,-0.0095837,-5.2937,200.16,0.0049983,1.8905e-07,-5.0885e-05,-0.0034138,1.2624e-07,-3.2879e-05,6.2811e-09,2.3757e-13,-6.3944e-11,-4.2899e-09,1.5864e-13,-4.1317e-11,0,0,0,0,0,0,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,0.015033,0.015032,4.752,0.010043,0.010043,-5.0823,24.206,-9.5893e-05,9.5918e-05,-0.0019244,-0.0015731,0.0015731,0.094474,-1.205e-10,1.2053e-10,-2.4183e-09,-1.9768e-09,1.9768e-09,1.1872e-07,1,8.5e-05,0,8.5e-05,0.005
