"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","surface current im:0","surface current im:1","surface current im:2","surface current re:0","surface current re:1","surface current re:2","w","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","w potential","w vector e:0","w vector e:1","w vector e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-6.7731e-05,-4.2788e-05,4.681,6.7732e-05,4.2789e-05,1.8529,20054,1.6408e-09,1.4697e-08,4.146e-09,8.2662e-10,9.6365e-09,-5.8601e-09,2.0619e-15,1.8468e-14,5.21e-15,1.0388e-15,1.211e-14,-7.3641e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,0,0,0,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-6.8569e-05,-4.2827e-05,4.681,6.857e-05,-0.033858,1.8506,19774,0.00026434,1.4662e-08,-1.4537e-06,-6.3422e-05,9.6234e-09,-1.0516e-06,3.3217e-10,1.8425e-14,-1.8267e-12,-7.9698e-11,1.2093e-14,-1.3215e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,5e-06,0,5e-06,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-6.9407e-05,-4.2866e-05,4.681,6.9408e-05,-0.067759,1.8483,19495,0.00052867,1.4628e-08,-2.9115e-06,-0.00012684,9.6103e-09,-2.0974e-06,6.6435e-10,1.8382e-14,-3.6587e-12,-1.594e-10,1.2077e-14,-2.6357e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,1e-05,0,1e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.0246e-05,-4.2905e-05,4.681,7.0247e-05,-0.10166,1.846,19216,0.000793,1.4593e-08,-4.3693e-06,-0.00019027,9.5972e-09,-3.1432e-06,9.9652e-10,1.8338e-14,-5.4906e-12,-2.391e-10,1.206e-14,-3.9498e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,1.5e-05,0,1.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.1084e-05,-4.2944e-05,4.681,7.1085e-05,-0.13556,1.8437,18936,0.0010573,1.4559e-08,-5.8271e-06,-0.00025369,9.5841e-09,-4.189e-06,1.3287e-09,1.8295e-14,-7.3226e-12,-3.188e-10,1.2044e-14,-5.264e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,2e-05,0,2e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.1922e-05,-4.2982e-05,4.681,7.1924e-05,-0.16946,1.8414,18657,0.0013217,1.4524e-08,-7.2849e-06,-0.00031711,9.571e-09,-5.2347e-06,1.6609e-09,1.8252e-14,-9.1545e-12,-3.9849e-10,1.2027e-14,-6.5782e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,2.5e-05,0,2.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.2761e-05,-4.3021e-05,4.681,7.2762e-05,-0.20336,1.8391,18377,0.001586,1.449e-08,-8.7427e-06,-0.00038053,9.558e-09,-6.2805e-06,1.993e-09,1.8208e-14,-1.0986e-11,-4.7819e-10,1.2011e-14,-7.8923e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,3e-05,0,3e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.3599e-05,-4.306e-05,4.681,7.36e-05,-0.23726,1.8368,18098,0.0018503,1.4455e-08,-1.0201e-05,-0.00044396,9.5449e-09,-7.3263e-06,2.3252e-09,1.8165e-14,-1.2818e-11,-5.5789e-10,1.1994e-14,-9.2065e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,3.5e-05,0,3.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.4437e-05,-4.3099e-05,4.681,7.4439e-05,-0.27117,1.8345,17818,0.0021147,1.4421e-08,-1.1658e-05,-0.00050738,9.5318e-09,-8.3721e-06,2.6574e-09,1.8122e-14,-1.465e-11,-6.3759e-10,1.1978e-14,-1.0521e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,4e-05,0,4e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.5276e-05,-4.3138e-05,4.681,7.5277e-05,-0.30507,1.8323,17539,0.002379,1.4386e-08,-1.3116e-05,-0.0005708,9.5187e-09,-9.4178e-06,2.9895e-09,1.8078e-14,-1.6482e-11,-7.1729e-10,1.1962e-14,-1.1835e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,4.5e-05,0,4.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.6114e-05,-4.3177e-05,4.681,7.6116e-05,-0.33897,1.83,17259,0.0026433,1.4352e-08,-1.4574e-05,-0.00063422,9.5056e-09,-1.0464e-05,3.3217e-09,1.8035e-14,-1.8314e-11,-7.9699e-10,1.1945e-14,-1.3149e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,5e-05,0,5e-05,0.005
