"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.5943e-07,-8.2028e-08,-10.322,-9.334,1.2727e+06,-1.9381,6.7105,-7.5104e+06,-1.7796e-07,-1.6093e-07,0.021943,-3.3415e-08,1.157e-07,-0.12949,5.0045e+05,-1.2843e-07,4.8164e-07,0.00070698,2.5267e-07,-2.7492e-08,-0.0012869,-1.6139e-13,6.0525e-13,8.8841e-10,3.1751e-13,-3.4547e-14,-1.6171e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,0,0,0,0.005
3.589e-07,-8.4333e-08,-8.2281,-7.4368,1.2285e+06,-1.8819,6.1392,-7.5158e+06,-1.4186e-07,-1.0658e-07,0.021182,-3.2447e-08,-1.451e-07,-0.12958,5.0029e+05,-1.9916,3.6853e-07,0.00060462,18.96,-2.5974e-09,-0.0014898,-2.5027e-06,4.6311e-13,7.5979e-10,2.3826e-05,-3.2639e-15,-1.8721e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,5e-06,0,5e-06,0.005
3.5837e-07,-8.6639e-08,-6.1346,-5.5396,1.1844e+06,-1.8258,5.5679,-7.5211e+06,-1.0577e-07,-5.2235e-08,0.020421,-3.1479e-08,-4.059e-07,-0.12967,5.0013e+05,-3.9831,2.5543e-07,0.00050226,37.92,2.2298e-08,-0.0016926,-5.0054e-06,3.2098e-13,6.3116e-10,4.7651e-05,2.8021e-14,-2.127e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,1e-05,0,1e-05,0.005
3.5783e-07,-8.8944e-08,-4.041,-3.6424,1.1403e+06,-1.7697,4.9966,-7.5264e+06,-6.9673e-08,2.1136e-09,0.01966,-3.0511e-08,-6.6671e-07,-0.12977,4.9996e+05,-5.9747,1.4232e-07,0.00039991,56.88,4.7194e-08,-0.0018955,-7.508e-06,1.7884e-13,5.0254e-10,7.1477e-05,5.9305e-14,-2.382e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,1.5e-05,0,1.5e-05,0.005
3.573e-07,-9.125e-08,-1.9475,-1.7452,1.0961e+06,-1.7135,4.4253,-7.5318e+06,-3.3578e-08,5.6462e-08,0.018899,-2.9543e-08,-9.2751e-07,-0.12986,4.998e+05,-7.9663,2.9213e-08,0.00029755,75.839,7.2089e-08,-0.0020984,-1.0011e-05,3.671e-14,3.7391e-10,9.5303e-05,9.059e-14,-2.6369e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,2e-05,0,2e-05,0.005
3.5677e-07,-9.3555e-08,0.14603,0.15196,1.052e+06,-1.6574,3.854,-7.5371e+06,2.5178e-09,1.1081e-07,0.018138,-2.8576e-08,-1.1883e-06,-0.12995,4.9964e+05,-9.9578,-8.3893e-08,0.0001952,94.799,9.6985e-08,-0.0023013,-1.2513e-05,-1.0542e-13,2.4529e-10,0.00011913,1.2188e-13,-2.8918e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,2.5e-05,0,2.5e-05,0.005
3.5623e-07,-9.5861e-08,2.2396,2.0492,1.0079e+06,-1.6012,3.2826,-7.5424e+06,3.8613e-08,1.6516e-07,0.017377,-2.7608e-08,-1.4491e-06,-0.13004,4.9948e+05,-11.949,-1.9702e-07,9.284e-05,113.76,1.2203e-07,-0.0025041,-1.5016e-05,-2.4758e-13,1.1667e-10,0.00014295,1.5334e-13,-3.1468e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,3e-05,0,3e-05,0.005
3.557e-07,-9.8167e-08,4.3331,3.9464,9.6375e+05,-1.5451,2.7113,-7.5478e+06,7.4709e-08,2.1951e-07,0.016616,-2.664e-08,-1.7099e-06,-0.13013,4.9932e+05,-13.941,-3.1011e-07,-9.5156e-06,132.72,1.4678e-07,-0.002707,-1.7519e-05,-3.8969e-13,-1.1958e-11,0.00016678,1.8444e-13,-3.4017e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,3.5e-05,0,3.5e-05,0.005
3.5517e-07,-1.0047e-07,6.4266,5.8436,9.1962e+05,-1.489,2.14,-7.5531e+06,1.108e-07,2.7386e-07,0.015856,-2.5672e-08,-1.9707e-06,-0.13023,4.9916e+05,-15.933,-4.2321e-07,-0.00011187,151.68,1.7167e-07,-0.0029099,-2.0021e-05,-5.3183e-13,-1.4058e-10,0.00019061,2.1573e-13,-3.6567e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,4e-05,0,4e-05,0.005
3.5464e-07,-1.0278e-07,8.5202,7.7408,8.7549e+05,-1.4328,1.5687,-7.5585e+06,1.469e-07,3.282e-07,0.015095,-2.4704e-08,-2.2315e-06,-0.13032,4.9899e+05,-17.924,-5.3632e-07,-0.00021423,170.64,1.9657e-07,-0.0031127,-2.2524e-05,-6.7396e-13,-2.6921e-10,0.00021443,2.4701e-13,-3.9116e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,4.5e-05,0,4.5e-05,0.005
3.541e-07,-1.0508e-07,10.614,9.638,8.3135e+05,-1.3767,0.99737,-7.5638e+06,1.8299e-07,3.8255e-07,0.014334,-2.3736e-08,-2.4923e-06,-0.13041,4.9883e+05,-19.916,-6.4943e-07,-0.00031658,189.6,2.2146e-07,-0.0033156,-2.5027e-05,-8.1609e-13,-3.9783e-10,0.00023826,2.783e-13,-4.1665e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,5e-05,0,5e-05,0.005
3.5357e-07,-1.0739e-07,12.707,11.535,7.8722e+05,-1.3206,0.42605,-7.5691e+06,2.1909e-07,4.369e-07,0.013573,-2.2768e-08,-2.7531e-06,-0.1305,4.9867e+05,-21.907,-7.6253e-07,-0.00041894,208.56,2.4636e-07,-0.0035185,-2.7529e-05,-9.5823e-13,-5.2645e-10,0.00026208,3.0959e-13,-4.4215e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,5.5e-05,0,5.5e-05,0.005
3.5304e-07,-1.0969e-07,14.801,13.432,7.4309e+05,-1.2644,-0.14527,-7.5745e+06,2.5519e-07,4.9125e-07,0.012812,-2.18e-08,-3.0139e-06,-0.13059,4.9851e+05,-23.899,-8.7564e-07,-0.00052129,227.52,2.7126e-07,-0.0037214,-3.0032e-05,-1.1004e-12,-6.5508e-10,0.00028591,3.4087e-13,-4.6764e-09,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,6e-05,0,6e-05,0.005
3.5179e-07,-1.1403e-07,14.206,13.6,6.5585e+05,-1.4953,-0.51289,-7.5807e+06,2.4493e-07,5.1824e-07,0.011308,-2.578e-08,-3.06e-06,-0.1307,4.9875e+05,-23.909,-8.7924e-07,-0.0005949,246.83,2.5745e-07,-0.0037781,-3.0045e-05,-1.1049e-12,-7.4757e-10,0.00031018,3.2352e-13,-4.7478e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,6.5e-05,0,6.5e-05,0.005
3.4982e-07,-1.2039e-07,10.924,12.037,5.2551e+05,-2.0131,-0.67682,-7.5877e+06,1.8834e-07,5.1788e-07,0.0090606,-3.4709e-08,-2.8913e-06,-0.13082,4.994e+05,-21.937,-7.7333e-07,-0.00063974,266.5,2.0494e-07,-0.0036888,-2.7567e-05,-9.7179e-13,-8.0392e-10,0.00033489,2.5753e-13,-4.6355e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,7e-05,0,7e-05,0.005
3.4786e-07,-1.2676e-07,7.6408,10.474,3.9516e+05,-2.531,-0.84075,-7.5947e+06,1.3174e-07,5.1751e-07,0.0068132,-4.3637e-08,-2.7227e-06,-0.13094,5.0005e+05,-19.965,-6.6737e-07,-0.00068459,286.16,1.5194e-07,-0.0035995,-2.5089e-05,-8.3865e-13,-8.6028e-10,0.0003596,1.9094e-13,-4.5233e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,7.5e-05,0,7.5e-05,0.005
3.4589e-07,-1.3312e-07,4.3581,8.9119,2.6482e+05,-3.0488,-1.0047,-7.6017e+06,7.514e-08,5.1715e-07,0.0045659,-5.2566e-08,-2.554e-06,-0.13106,5.007e+05,-17.993,-5.615e-07,-0.00072943,305.83,9.9778e-08,-0.0035102,-2.2611e-05,-7.056e-13,-9.1663e-10,0.00038432,1.2538e-13,-4.411e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,8e-05,0,8e-05,0.005
3.4393e-07,-1.3949e-07,1.0754,7.3493,1.3447e+05,-3.5667,-1.1686,-7.6088e+06,1.8541e-08,5.1678e-07,0.0023185,-6.1494e-08,-2.3854e-06,-0.13119,5.0135e+05,-16.022,-4.556e-07,-0.00077428,325.49,4.7379e-08,-0.0034208,-2.0133e-05,-5.7252e-13,-9.7299e-10,0.00040903,5.9539e-14,-4.2987e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,8.5e-05,0,8.5e-05,0.005
3.4196e-07,-1.4585e-07,-2.2073,5.7867,4123.5,-4.0845,-1.3325,-7.6158e+06,-3.8057e-08,5.1642e-07,7.1183e-05,-7.0423e-08,-2.2167e-06,-0.13131,5.02e+05,-14.05,-3.4969e-07,-0.00081913,345.16,-5.1116e-09,-0.0033315,-1.7655e-05,-4.3943e-13,-1.0293e-09,0.00043374,-6.4235e-15,-4.1865e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,9e-05,0,9e-05,0.005
3.4e-07,-1.5222e-07,-5.49,4.2241,-1.2622e+05,-4.6024,-1.4965,-7.6228e+06,-9.4655e-08,5.1606e-07,-0.0021762,-7.9351e-08,-2.048e-06,-0.13143,5.0265e+05,-12.078,-2.4378e-07,-0.00086397,364.83,-5.7623e-08,-0.0032422,-1.5178e-05,-3.0634e-13,-1.0857e-09,0.00045845,-7.2411e-14,-4.0742e-09,3.6306,-7.297,-1.2366e+05,-4.0429,4.7058,-7.6291e+06,6.2597e-08,-1.2581e-07,-0.0021321,-6.9705e-08,8.1134e-08,-0.13154,5.0364e+05,-17.554,8.6501,-0.0005369,337.54,-100.92,-0.146,-2.2059e-05,1.087e-05,-6.7469e-10,0.00042416,-0.00012682,-1.8347e-07,1,9.5e-05,0,9.5e-05,0.005
