"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","J_rms_z","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.5943e-07,-8.2028e-08,-10.322,-9.334,1.2727e+06,-1.9381,6.7105,-7.5104e+06,-1.7796e-07,-1.6093e-07,0.021943,-3.3415e-08,1.157e-07,-0.12949,5.0045e+05,-1.2843e-07,4.8164e-07,0.00070698,2.5267e-07,-2.7492e-08,-0.0012869,-1.6139e-13,6.0525e-13,8.8841e-10,3.1751e-13,-3.4547e-14,-1.6171e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,0,0,0,0.005
3.5933e-07,-8.2489e-08,-9.9029,-8.9546,1.2638e+06,-1.9268,6.5963,-7.5115e+06,-1.7074e-07,-1.5006e-07,0.02179,-3.3222e-08,6.3538e-08,-0.12951,5.0042e+05,-0.39831,4.5902e-07,0.0006865,3.792,-2.2513e-08,-0.0013275,-5.0054e-07,5.7682e-13,8.6269e-10,4.7651e-06,-2.8291e-14,-1.6681e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,1e-06,0,1e-06,0.005
3.5922e-07,-8.295e-08,-9.4842,-8.5752,1.255e+06,-1.9156,6.482,-7.5126e+06,-1.6352e-07,-1.3919e-07,0.021638,-3.3028e-08,1.1378e-08,-0.12953,5.0039e+05,-0.79663,4.364e-07,0.00066603,7.5839,-1.7534e-08,-0.001368,-1.0011e-06,5.4839e-13,8.3696e-10,9.5303e-06,-2.2034e-14,-1.7191e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,2e-06,0,2e-06,0.005
3.5911e-07,-8.3411e-08,-9.0655,-8.1957,1.2462e+06,-1.9044,6.3678,-7.5136e+06,-1.563e-07,-1.2832e-07,0.021486,-3.2834e-08,-4.0782e-08,-0.12955,5.0035e+05,-1.1949,4.1378e-07,0.00064556,11.376,-1.2555e-08,-0.0014086,-1.5016e-06,5.1997e-13,8.1124e-10,1.4295e-05,-1.5777e-14,-1.7701e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,3e-06,0,3e-06,0.005
3.5901e-07,-8.3872e-08,-8.6468,-7.8163,1.2374e+06,-1.8932,6.2535,-7.5147e+06,-1.4908e-07,-1.1745e-07,0.021334,-3.2641e-08,-9.2943e-08,-0.12956,5.0032e+05,-1.5933,3.9115e-07,0.00062509,15.168,-7.5764e-09,-0.0014492,-2.0021e-06,4.9154e-13,7.8551e-10,1.9061e-05,-9.5207e-15,-1.8211e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,4e-06,0,4e-06,0.005
3.589e-07,-8.4333e-08,-8.2281,-7.4368,1.2285e+06,-1.8819,6.1392,-7.5158e+06,-1.4186e-07,-1.0658e-07,0.021182,-3.2447e-08,-1.451e-07,-0.12958,5.0029e+05,-1.9916,3.6853e-07,0.00060462,18.96,-2.5974e-09,-0.0014898,-2.5027e-06,4.6311e-13,7.5979e-10,2.3826e-05,-3.2639e-15,-1.8721e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,5e-06,0,5e-06,0.005
3.5879e-07,-8.4794e-08,-7.8094,-7.0574,1.2197e+06,-1.8707,6.025,-7.5168e+06,-1.3464e-07,-9.5713e-08,0.02103,-3.2254e-08,-1.9726e-07,-0.1296,5.0026e+05,-2.3899,3.4591e-07,0.00058415,22.752,2.3816e-09,-0.0015303,-3.0032e-06,4.3469e-13,7.3406e-10,2.8591e-05,2.9929e-15,-1.9231e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,6e-06,0,6e-06,0.005
3.5869e-07,-8.5255e-08,-7.3907,-6.678,1.2109e+06,-1.8595,5.9107,-7.5179e+06,-1.2743e-07,-8.4844e-08,0.020877,-3.206e-08,-2.4942e-07,-0.12962,5.0022e+05,-2.7882,3.2329e-07,0.00056368,26.544,7.3607e-09,-0.0015709,-3.5037e-06,4.0626e-13,7.0834e-10,3.3356e-05,9.2498e-15,-1.9741e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,7e-06,0,7e-06,0.005
3.5858e-07,-8.5716e-08,-6.972,-6.2985,1.2021e+06,-1.8483,5.7964,-7.519e+06,-1.2021e-07,-7.3974e-08,0.020725,-3.1867e-08,-3.0158e-07,-0.12964,5.0019e+05,-3.1865,3.0067e-07,0.00054321,30.336,1.234e-08,-0.0016115,-4.0043e-06,3.7783e-13,6.8261e-10,3.8121e-05,1.5507e-14,-2.025e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,8e-06,0,8e-06,0.005
3.5847e-07,-8.6178e-08,-6.5533,-5.9191,1.1932e+06,-1.837,5.6822,-7.52e+06,-1.1299e-07,-6.3104e-08,0.020573,-3.1673e-08,-3.5374e-07,-0.12966,5.0016e+05,-3.5848,2.7805e-07,0.00052273,34.128,1.7319e-08,-0.0016521,-4.5048e-06,3.494e-13,6.5689e-10,4.2886e-05,2.1764e-14,-2.076e-09,7.611e+06,9.9929,-13.866,8.2695e+05,-2.2791,4.5834,-7.5659e+06,1.7229e-07,-2.3907e-07,0.014258,-3.9295e-08,7.9024e-08,-0.13045,4.9955e+05,-12.21,12.21,0.0018603,93.033,-93.033,0.16101,-1.5343e-05,1.5343e-05,2.3377e-09,0.00011691,-0.00011691,2.0234e-07,1,9e-06,0,9e-06,0.005
