"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","w","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","w potential","w vector e:0","w vector e:1","w vector e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.8201e-50,8.8201e-50,197.75,269.25,1.276e+06,362.31,326.22,-7.5068e+06,3.4095e-06,4.6422e-06,0.022,6.2467e-06,5.6246e-06,-0.12943,5.0004e+05,4.316e-06,-3.4623e-06,4.2188e-06,2.3005e-06,-3.2995e-07,-1.4792e-06,5.4237e-12,-4.3508e-12,5.3016e-12,2.8909e-12,-4.1463e-13,-1.8589e-12,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,0,0,0,0.005
8.8201e-50,8.8201e-50,173.86,230.7,1.2319e+06,317.04,285.32,-7.5121e+06,2.9977e-06,3.9777e-06,0.02124,5.4662e-06,4.9193e-06,-0.12952,4.9988e+05,-2.0004,-3.2162e-06,-4.7732e-05,18.951,-3.8409e-07,-0.00013597,-2.5138e-06,-4.0416e-12,-5.9981e-11,2.3815e-05,-4.8266e-13,-1.7087e-10,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,5e-06,0,5e-06,0.005
8.8201e-50,8.8201e-50,149.98,192.16,1.1878e+06,271.77,244.42,-7.5175e+06,2.5858e-06,3.3131e-06,0.020479,4.6857e-06,4.2141e-06,-0.12961,4.9972e+05,-4.0008,-2.9702e-06,-9.9682e-05,37.903,-4.3823e-07,-0.00027047,-5.0276e-06,-3.7324e-12,-1.2526e-10,4.763e-05,-5.5069e-13,-3.3988e-10,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,1e-05,0,1e-05,0.005
8.8201e-50,8.8201e-50,126.09,153.62,1.1437e+06,226.51,203.52,-7.5228e+06,2.1739e-06,2.6486e-06,0.019719,3.9053e-06,3.5089e-06,-0.1297,4.9956e+05,-6.0013,-2.7241e-06,-0.00015163,56.854,-4.9237e-07,-0.00040496,-7.5414e-06,-3.4233e-12,-1.9055e-10,7.1445e-05,-6.1873e-13,-5.0889e-10,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,1.5e-05,0,1.5e-05,0.005
8.8201e-50,8.8201e-50,102.2,115.08,1.0996e+06,181.24,162.61,-7.5282e+06,1.7621e-06,1.9841e-06,0.018958,3.1248e-06,2.8037e-06,-0.1298,4.994e+05,-8.0017,-2.4781e-06,-0.00020358,75.805,-5.465e-07,-0.00053946,-1.0055e-05,-3.1141e-12,-2.5583e-10,9.5259e-05,-6.8676e-13,-6.779e-10,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,2e-05,0,2e-05,0.005
8.8201e-50,8.8201e-50,78.314,76.534,1.0555e+06,135.97,121.71,-7.5336e+06,1.3502e-06,1.3195e-06,0.018198,2.3444e-06,2.0984e-06,-0.12989,4.9923e+05,-10.002,-2.2321e-06,-0.00025553,94.756,-6.0064e-07,-0.00067395,-1.2569e-05,-2.8049e-12,-3.2111e-10,0.00011907,-7.5479e-13,-8.4691e-10,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,2.5e-05,0,2.5e-05,0.005
8.8201e-50,8.8201e-50,54.426,37.991,1.0114e+06,90.707,80.806,-7.5389e+06,9.3838e-07,6.5502e-07,0.017437,1.5639e-06,1.3932e-06,-0.12998,4.9907e+05,-12.003,-1.986e-06,-0.00030748,113.71,-6.5464e-07,-0.00080844,-1.5083e-05,-2.4957e-12,-3.864e-10,0.00014289,-8.2264e-13,-1.0159e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,3e-05,0,3e-05,0.005
8.8201e-50,8.8201e-50,30.539,-0.55158,9.6725e+05,45.441,39.904,-7.5443e+06,5.2652e-07,-9.5133e-09,0.016677,7.8347e-07,6.88e-07,-0.13007,4.9891e+05,-14.003,-1.74e-06,-0.00035943,132.66,-7.0892e-07,-0.00094294,-1.7597e-05,-2.1865e-12,-4.5168e-10,0.0001667,-8.9085e-13,-1.1849e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,3.5e-05,0,3.5e-05,0.005
8.8201e-50,8.8201e-50,6.651,-39.094,9.2314e+05,0.17462,-0.99932,-7.5496e+06,1.1467e-07,-6.7404e-07,0.015916,3.0178e-09,-1.7227e-08,-0.13017,4.9875e+05,-16.003,-1.494e-06,-0.00041138,151.61,-7.6305e-07,-0.0010774,-2.011e-05,-1.8774e-12,-5.1696e-10,0.00019052,-9.5888e-13,-1.3539e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,4e-05,0,4e-05,0.005
8.8201e-50,8.8201e-50,-17.237,-77.637,8.7903e+05,-45.092,-41.902,-7.555e+06,-2.9719e-07,-1.3386e-06,0.015156,-7.7744e-07,-7.2245e-07,-0.13026,4.9858e+05,-18.004,-1.2479e-06,-0.00046333,170.56,-8.1719e-07,-0.0012119,-2.2624e-05,-1.5682e-12,-5.8224e-10,0.00021433,-1.0269e-12,-1.523e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,4.5e-05,0,4.5e-05,0.005
