"joule heating","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","Points:0","Points:1","Points:2"
0.12732,5.4776e-07,0.0051828,0,0,0.025,0
115.13,5.4755e-07,0.0051828,0,3.5e-05,0.025,0
230.13,5.4735e-07,0.0051828,0,7e-05,0.025,0
345.12,5.4714e-07,0.0051828,0,0.000105,0.025,0
460.12,5.4694e-07,0.0051828,0,0.00014,0.025,0
575.12,5.4673e-07,0.0051828,0,0.000175,0.025,0
690.12,5.4653e-07,0.0051828,0,0.00021,0.025,0
805.12,5.4632e-07,0.0051828,0,0.000245,0.025,0
920.12,5.4612e-07,0.0051828,0,0.00028,0.025,0
1035.1,5.4591e-07,0.0051828,0,0.000315,0.025,0
1150.1,5.4571e-07,0.0051828,0,0.00035,0.025,0
1265.1,5.455e-07,0.0051828,0,0.000385,0.025,0
1380.1,5.4529e-07,0.0051828,0,0.00042,0.025,0
1495.1,5.4509e-07,0.0051828,0,0.000455,0.025,0
1610.1,5.4488e-07,0.0051827,0,0.00049,0.025,0
1725.1,5.4468e-07,0.0051827,0,0.000525,0.025,0
1840.1,5.4447e-07,0.0051827,0,0.00056,0.025,0
1955.1,5.4427e-07,0.0051827,0,0.000595,0.025,0
2070.1,5.4406e-07,0.0051827,0,0.00063,0.025,0
2185.1,5.4386e-07,0.0051827,0,0.000665,0.025,0
2300.1,5.4365e-07,0.0051827,0,0.0007,0.025,0
2415.1,5.4345e-07,0.0051827,0,0.000735,0.025,0
2530.1,5.4324e-07,0.0051827,0,0.00077,0.025,0
2645.1,5.4304e-07,0.0051827,0,0.000805,0.025,0
2760.1,5.4283e-07,0.0051827,0,0.00084,0.025,0
2875.1,5.4263e-07,0.0051827,0,0.000875,0.025,0
2990.1,5.4242e-07,0.0051827,0,0.00091,0.025,0
3105.1,5.4222e-07,0.0051827,0,0.000945,0.025,0
3220.1,5.4201e-07,0.0051827,0,0.00098,0.025,0
3335.1,5.4181e-07,0.0051827,0,0.001015,0.025,0
3450.1,5.416e-07,0.0051827,0,0.00105,0.025,0
3565.1,5.414e-07,0.0051827,0,0.001085,0.025,0
3680.1,5.4119e-07,0.0051827,0,0.00112,0.025,0
3795.1,5.4099e-07,0.0051827,0,0.001155,0.025,0
3910.1,5.4078e-07,0.0051827,0,0.00119,0.025,0
4025.1,5.4058e-07,0.0051827,0,0.001225,0.025,0
4140.1,5.4037e-07,0.0051827,0,0.00126,0.025,0
4255.1,5.4017e-07,0.0051827,0,0.001295,0.025,0
4370.1,5.3996e-07,0.0051827,0,0.00133,0.025,0
4485.1,5.3976e-07,0.0051827,0,0.001365,0.025,0
4600.1,5.3955e-07,0.0051827,0,0.0014,0.025,0
4715.1,5.3935e-07,0.0051827,0,0.001435,0.025,0
4830.1,5.3914e-07,0.0051827,0,0.00147,0.025,0
4945.1,5.3894e-07,0.0051827,0,0.001505,0.025,0
5060.1,5.3873e-07,0.0051827,0,0.00154,0.025,0
5175.1,5.3853e-07,0.0051827,0,0.001575,0.025,0
5290.1,5.3832e-07,0.0051827,0,0.00161,0.025,0
5405.1,5.3812e-07,0.0051827,0,0.001645,0.025,0
5520.1,5.3791e-07,0.0051827,0,0.00168,0.025,0
5635.1,5.3771e-07,0.0051827,0,0.001715,0.025,0
5750.1,5.375e-07,0.0051827,0,0.00175,0.025,0
5865.1,5.3729e-07,0.0051827,0,0.001785,0.025,0
5980.1,5.3709e-07,0.0051827,0,0.00182,0.025,0
6095.1,5.3688e-07,0.0051827,0,0.001855,0.025,0
6210.1,5.3668e-07,0.0051827,0,0.00189,0.025,0
6325.1,5.3647e-07,0.0051827,0,0.001925,0.025,0
6440.1,5.3627e-07,0.0051827,0,0.00196,0.025,0
6555.1,5.3606e-07,0.0051827,0,0.001995,0.025,0
6670.1,5.3586e-07,0.0051827,0,0.00203,0.025,0
6785.1,5.3565e-07,0.0051827,0,0.002065,0.025,0
6900.1,5.3545e-07,0.0051827,0,0.0021,0.025,0
