"joule heating","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","potential:0","potential:1","potential:2","temperature","temperature loads","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
15.265,3.1027e-07,0.0016892,0,-5.3083e-08,-2.6341e-07,0,295.25,-2.1272e-15,1,1,0,0,0.021,0
95,3.403e-07,0.0016892,0,-1.0196e-07,-2.4998e-07,0,295.25,-1.8061e-15,1,1,6e-05,6e-05,0.021,0
174.74,3.7033e-07,0.0016892,0,-1.5083e-07,-2.3655e-07,0,295.25,-1.4849e-15,1,1,0.00012,0.00012,0.021,0
254.47,4.0036e-07,0.0016892,0,-1.9971e-07,-2.2312e-07,0,295.25,-1.1637e-15,1,1,0.00018,0.00018,0.021,0
334.21,4.304e-07,0.0016891,0,-2.4858e-07,-2.0969e-07,0,295.25,-8.4259e-16,1,1,0.00024,0.00024,0.021,0
413.94,4.6043e-07,0.0016891,0,-2.9746e-07,-1.9626e-07,0,295.25,-5.2143e-16,1,1,0.0003,0.0003,0.021,0
493.68,4.9046e-07,0.0016891,0,-3.4633e-07,-1.8283e-07,0,295.25,-2.0027e-16,1,1,0.00036,0.00036,0.021,0
573.42,5.2049e-07,0.0016891,0,-3.9521e-07,-1.694e-07,0,295.25,1.2088e-16,1,1,0.00042,0.00042,0.021,0
653.15,5.5052e-07,0.0016891,0,-4.4408e-07,-1.5598e-07,0,295.25,4.4204e-16,1,1,0.00048,0.00048,0.021,0
732.89,5.8055e-07,0.0016891,0,-4.9296e-07,-1.4255e-07,0,295.25,7.6319e-16,1,1,0.00054,0.00054,0.021,0
812.62,6.1059e-07,0.001689,0,-5.4183e-07,-1.2912e-07,0,295.25,1.0843e-15,1,1,0.0006,0.0006,0.021,0
892.36,6.4062e-07,0.001689,0,-5.9071e-07,-1.1569e-07,0,295.25,1.4055e-15,1,1,0.00066,0.00066,0.021,0
972.1,6.7065e-07,0.001689,0,-6.3958e-07,-1.0226e-07,0,295.25,1.7267e-15,1,1,0.00072,0.00072,0.021,0
1051.8,7.0068e-07,0.001689,0,-6.8846e-07,-8.8831e-08,0,295.25,2.0478e-15,1,1,0.00078,0.00078,0.021,0
1131.6,7.3071e-07,0.001689,0,-7.3733e-07,-7.5402e-08,0,295.25,2.369e-15,1,1,0.00084,0.00084,0.021,0
1211.3,7.6074e-07,0.001689,0,-7.8621e-07,-6.1973e-08,0,295.25,2.6901e-15,1,1,0.0009,0.0009,0.021,0
1291,7.9078e-07,0.001689,0,-8.3508e-07,-4.8544e-08,0,295.25,3.0113e-15,1,1,0.00096,0.00096,0.021,0
1370.8,8.2081e-07,0.0016889,0,-8.8396e-07,-3.5115e-08,0,295.25,3.3324e-15,1,1,0.00102,0.00102,0.021,0
1450.5,8.5084e-07,0.0016889,0,-9.3283e-07,-2.1686e-08,0,295.25,3.6536e-15,1,1,0.00108,0.00108,0.021,0
1530.2,8.8087e-07,0.0016889,0,-9.8171e-07,-8.2566e-09,0,295.25,3.9748e-15,1,1,0.00114,0.00114,0.021,0
1610,9.109e-07,0.0016889,0,-1.0306e-06,5.1724e-09,0,295.25,4.2959e-15,1,1,0.0012,0.0012,0.021,0
1689.7,9.4093e-07,0.0016889,0,-1.0795e-06,1.8601e-08,0,295.25,4.6171e-15,1,1,0.00126,0.00126,0.021,0
1769.5,9.7097e-07,0.0016889,0,-1.1283e-06,3.203e-08,0,295.25,4.9382e-15,1,1,0.00132,0.00132,0.021,0
1849.2,1.001e-06,0.0016889,0,-1.1772e-06,4.5459e-08,0,295.25,5.2594e-15,1,1,0.00138,0.00138,0.021,0
1928.9,1.031e-06,0.0016888,0,-1.2261e-06,5.8888e-08,0,295.25,5.5805e-15,1,1,0.00144,0.00144,0.021,0
2008.7,1.0611e-06,0.0016888,0,-1.275e-06,7.2317e-08,0,295.25,5.9017e-15,1,1,0.0015,0.0015,0.021,0
2088.4,1.0911e-06,0.0016888,0,-1.3238e-06,8.5746e-08,0,295.25,6.2228e-15,1,1,0.00156,0.00156,0.021,0
2168.1,1.1211e-06,0.0016888,0,-1.3727e-06,9.9175e-08,0,295.25,6.544e-15,1,1,0.00162,0.00162,0.021,0
2247.9,1.1512e-06,0.0016888,0,-1.4216e-06,1.126e-07,0,295.25,6.8652e-15,1,1,0.00168,0.00168,0.021,0
